,A,IndicesInteractionProtein,KnownProteins,MaxNumInteractionProtein,N,NumInteractionProtein,ProteinLabel,ProteinLabelPairs
521,0,,1,,,7,['YJL099W'],
522,0,,1,,,15,['YLR275W'],
523,0,,-1,,,12,['YOL010W'],
524,0,,1,,,12,['YPL217C'],
525,0,,1,,,5,['YIL093C'],
526,0,,1,,,5,['YJR101W'],
527,0,,-1,,,8,['YDR062W'],
528,0,,-1,,,8,['YJR077C'],
529,0,,-1,,,49,['YMR229C'],
530,0,,-1,,,13,['YHR085W'],
531,0,,-1,,,12,['YOR056C'],
532,0,,1,,,22,['YPL198W'],
533,0,,-1,,,3,['YOR254C'],
534,0,,-1,,,3,['YBR171W'],
535,0,,-1,,,3,['YLR292C'],
536,0,,-1,,,4,['YPL094C'],
537,0,,1,,,38,['YJR145C'],
538,0,,-1,,,7,['YML114C'],
539,0,,-1,,,6,['YCR042C'],
540,0,,1,,,32,['YFR031C'],
541,0,,-1,,,25,['YOL120C'],
542,0,,1,,,6,['YOR217W'],
543,0,,-1,,,27,['YNL175C'],
544,0,,1,,,9,['YDR091C'],
545,0,,1,,,5,['YGR084C'],
546,0,,1,,,5,['YPL118W'],
547,0,,1,,,5,['YNL306W'],
548,0,,1,,,5,['YBR146W'],
549,0,,1,,,5,['YKL155C'],
550,0,,1,,,5,['YGL129C'],
551,0,,-1,,,4,['YFR049W'],
552,0,,-1,,,4,['YIL125W'],
553,0,,1,,,7,['YGR135W'],
554,0,,1,,,3,['YBR175W'],
555,0,,1,,,5,['YNL137C'],
556,0,,1,,,23,['YML007W'],
557,0,,1,,,6,['YLR439W'],
558,0,,-1,,,11,['YLR196W'],
559,0,,-1,,,20,['YLR106C'],
560,0,,1,,,5,['YJR113C'],
561,0,,-1,,,4,['YER178W'],
562,0,,1,,,6,['YMR112C'],
563,0,,-1,,,3,['YNL071W'],
564,0,,-1,,,8,['YDR228C'],
565,0,,1,,,6,['YNL005C'],
566,0,,-1,,,5,['YDR005C'],
567,0,,-1,,,5,['YDR148C'],
568,0,,1,,,13,['YDL031W'],
569,0,,1,,,11,['YLR222C'],
570,0,,1,,,6,['YDR308C'],
571,0,,1,,,5,['YJL063C'],
572,0,,1,,,5,['YDR337W'],
573,0,,1,,,8,['YDL098C'],
574,0,,1,,,3,['YJR092W'],
575,0,,1,,,22,['YKL104C'],
576,0,,1,,,5,['YKR085C'],
577,0,,1,,,6,['YNR010W'],
578,0,,1,,,4,['YCR092C'],
579,0,,1,,,8,['YPR082C'],
580,0,,1,,,3,['YAL007C'],
581,0,,-1,,,15,['YLR449W'],
582,0,,-1,,,12,['YFL039C'],
583,0,,1,,,25,['YGL076C'],
584,0,,1,,,3,['YAR002C'],
585,0,,-1,,,10,['YGR232W'],
586,0,,1,,,25,['YHL034C'],
587,0,,-1,,,17,['YIL094C'],
588,0,,1,,,6,['YLR430W'],
589,0,,1,,,6,['YBL041W'],
590,0,,1,,,3,['YHL019C'],
591,0,,1,,,11,['YLR002C'],
592,0,,1,,,18,['YFL037W'],
593,0,,1,,,24,['YDR012W'],
594,0,,-1,,,6,['YFL018C'],
595,0,,1,,,5,['YOL005C'],
596,0,,-1,,,20,['YOR133W'],
597,0,,1,,,3,['YPL259C'],
598,0,,-1,,,3,['YNL021W'],
599,0,,-1,,,3,['YDR295C'],
600,0,,-1,,,3,['YPR179C'],
601,0,,1,,,3,['YLL004W'],
602,0,,-1,,,12,['YGR218W'],
603,0,,1,,,9,['YLL024C'],
604,0,,1,,,13,['YDL213C'],
605,0,,-1,,,29,['YBL072C'],
606,0,,1,,,16,['YMR128W'],
607,0,,-1,,,10,['YMR072W'],
608,0,,-1,,,15,['YDR127W'],
609,0,,-1,,,5,['YMR078C'],
610,0,,-1,,,8,['YDR283C'],
611,0,,1,,,11,['YJR002W'],
612,0,,1,,,4,['YAL013W'],
613,0,,-1,,,11,['YPR189W'],
614,0,,1,,,3,['YGL197W'],
615,0,,1,,,3,['YLR310C'],
616,0,,1,,,10,['YLR186W'],
617,0,,1,,,6,['YOL090W'],
618,0,,1,,,3,['YOR123C'],
619,0,,-1,,,5,['YBR017C'],
620,0,,1,,,9,['YHR148W'],
621,0,,-1,,,8,['YDR174W'],
622,0,,-1,,,4,['YOR250C'],
623,0,,1,,,11,['YLL008W'],
624,0,,1,,,3,['YJL050W'],
625,0,,1,,,4,['YNL049C'],
626,0,,1,,,4,['YDL134C'],
627,0,,-1,,,3,['YHR170W'],
628,0,,-1,,,13,['YGL099W'],
629,0,,1,,,3,['YJR042W'],
630,0,,1,,,29,['YLR432W'],
631,0,,-1,,,3,['YGR193C'],
632,0,,-1,,,4,['YJL080C'],
633,0,,1,,,3,['YKL122C'],
634,0,,1,,,4,['YBR095C'],
635,0,,1,,,9,['YPL266W'],
636,0,,1,,,14,['YOL041C'],
637,0,,1,,,5,['YOR326W'],
638,0,,-1,,,6,['YER164W'],
639,0,,1,,,14,['YDL014W'],
640,0,,-1,,,4,['YFR002W'],
641,0,,-1,,,10,['YER095W'],
642,0,,-1,,,10,['YGR234W'],
643,0,,1,,,16,['YDR064W'],
644,0,,-1,,,12,['YHR169W'],
645,0,,-1,,,13,['YLR153C'],
646,0,,1,,,28,['YPL012W'],
647,0,,-1,,,6,['YJL034W'],
648,0,,-1,,,3,['YDR027C'],
649,0,,-1,,,3,['YDR484W'],
650,0,,-1,,,3,['YJL029C'],
651,0,,1,,,3,['YGR166W'],
652,0,,1,,,3,['YDR407C'],
653,0,,1,,,3,['YMR218C'],
654,0,,1,,,5,['YHR056C'],
655,0,,1,,,5,['YJR068W'],
656,0,,1,,,6,['YBR065C'],
657,0,,1,,,15,['YLL034C'],
658,0,,1,,,4,['YMR237W'],
659,0,,-1,,,31,['YLR175W'],
660,0,,1,,,14,['YER110C'],
661,0,,1,,,12,['YKL009W'],
662,0,,1,,,5,['YOR179C'],
663,0,,1,,,3,['YKL143W'],
664,0,,1,,,3,['YPR036W'],
665,0,,1,,,11,['YLR197W'],
666,0,,-1,,,16,['YHR019C'],
667,0,,1,,,4,['YBR160W'],
